X2,Y2,Z2,x2,y2,z2,delta_x2,delta_y2,delta_z2,delta_xy2,delta_xyz2
-50,50,130,-44.78829863,50.36006557,127.269226,5.211701375,0.360065571,-2.730774043,5.224124657,5.894794764
-40,-40,130,-38.95481552,-34.32173419,131.4678337,1.04518448,5.678265811,1.467833735,5.773656832,5.957318951
40,-50,130,42.02627418,-44.75344805,127.8017464,2.026274178,5.246551952,-2.198253593,5.624241676,6.038577091
0,20,130,-2.418465494,20.63361238,135.5441684,-2.418465494,0.633612378,5.544168429,2.500087996,6.08179608
60,-40,130,57.23447239,-39.50273497,135.4232343,-2.765527614,0.497265032,5.423234254,2.809878199,6.107936253
-10,-20,130,-12.80333925,-21.60007621,135.1960228,-2.803339246,-1.600076207,5.196022762,3.227840578,6.116993325
40,30,130,43.87830951,29.00953665,125.3522917,3.878309505,-0.990463352,-4.647708313,4.002786813,6.13379938
10,0,130,12.63206719,1.97937116,124.8094245,2.632067191,1.97937116,-5.190575462,3.293279199,6.147175084
-60,-60,130,-58.75954759,-56.66378017,135.0363118,1.240452412,3.33621983,5.036311798,3.559365806,6.167132354
0,-40,130,-1.940795343,-35.21516437,126.571686,-1.940795343,4.784835627,-3.428314017,5.163461876,6.197957369
40,10,130,38.56456024,14.48284546,125.9365705,-1.435439761,4.482845457,-4.063429512,4.707057542,6.21834786
70,-10,130,72.46110746,-11.5451093,135.5165097,2.461107464,-1.545109298,5.516509726,2.905927166,6.235085585
60,70,130,57.13659877,75.28155747,128.2386706,-2.86340123,5.28155747,-1.761329407,6.007821229,6.260686639
-10,-10,130,-6.87702655,-8.780464491,124.6901329,3.12297345,1.219535509,-5.309867098,3.352645228,6.279722814
-20,10,130,-19.3167804,13.80205897,125.033206,0.683219602,3.802058975,-4.96679397,3.862957607,6.292176397
10,50,130,9.936445194,52.38140994,135.8293156,-0.063554806,2.381409945,5.829315613,2.382257866,6.297306809
-30,0,130,-32.80622454,-0.67194168,135.6106221,-2.80622454,-0.67194168,5.610622091,2.885550518,6.309158584
-10,0,130,-6.544525985,0.707901938,135.2638774,3.455474015,0.707901938,5.263877377,3.52724054,6.336389419
40,-40,130,42.79527869,-35.37901343,126.6514117,2.795278686,4.620986572,-3.348588344,5.400657352,6.354537256
50,60,130,53.72973773,61.4240703,125.0500119,3.729737731,1.424070304,-4.949988108,3.992357671,6.359347611
-50,-70,130,-44.81112816,-67.29087498,127.4266181,5.188871836,2.709125024,-2.573381895,5.853524522,6.394219554
20,10,130,25.3778415,11.2521905,126.7196783,5.377841501,1.252190502,-3.280321749,5.521699037,6.42259068
-50,40,130,-51.189968,42.05819684,135.9717177,-1.189967998,2.058196844,5.971717667,2.37743519,6.427566411
40,-10,130,45.42913271,-7.418238001,132.3038684,5.429132711,2.581761999,2.303868373,6.011736606,6.438073197
50,30,130,47.76216844,27.8560764,124.3399493,-2.237831557,-2.1439236,-5.66005073,3.099080264,6.452942953
10,30,130,14.50017491,29.73084957,134.6617121,4.500174912,-0.269150433,4.66171207,4.508216521,6.485027033
30,0,130,30.83110299,3.530828218,135.3780172,0.831102986,3.530828218,5.378017243,3.627324094,6.486952254
-70,30,130,-65.02624453,34.08070115,129.1157581,4.973755469,4.080701148,-0.884241858,6.433534435,6.494016399
40,70,130,37.86127852,68.04547775,135.8179578,-2.13872148,-1.954522251,5.817957793,2.89728956,6.499455337
-40,20,130,-42.91148775,24.27763397,126.0361665,-2.911487749,4.277633965,-3.963833487,5.174448111,6.518196773
-60,50,130,-59.66182291,47.27048278,135.9710375,0.338177093,-2.729517219,5.971037505,2.750386881,6.574033532
-20,-50,130,-18.03804125,-44.43783907,127.0821481,1.961958755,5.562160933,-2.917851879,5.898043439,6.580332514
0,40,130,2.758402425,40.66952054,124.0579609,2.758402425,0.669520543,-5.942039079,2.838492857,6.585200841
20,0,130,24.96162148,3.215647452,132.8997232,4.961621483,3.215647452,2.899723243,5.91253552,6.585322403
40,0,130,42.29873424,3.994255637,134.7483858,2.298734245,3.994255637,4.748385763,4.60849837,6.617055582
10,-10,130,15.15607613,-6.829755508,132.7136366,5.156076134,3.170244492,2.713636639,6.052732543,6.633203981
-40,-10,130,-42.64102371,-12.88600916,124.6092456,-2.641023712,-2.886009161,-5.390754402,3.912039765,6.660652231
30,70,130,33.59644054,69.42886172,135.5951433,3.596440537,-0.571138283,5.595143292,3.641508406,6.675792981
70,-20,130,73.52166209,-19.92040125,135.6804831,3.521662086,0.079598746,5.680483104,3.522561541,6.684035316
20,-70,130,19.26655574,-64.60022574,126.1052933,-0.733444261,5.399774259,-3.894706659,5.449357992,6.698077522
50,-30,130,49.44708317,-27.67563844,136.3085578,-0.552916832,2.324361564,6.308557785,2.389220313,6.745833902
-30,50,130,-32.33589962,52.90739408,124.3526414,-2.335899623,2.907394081,-5.647358618,3.72952643,6.767719465
30,50,130,29.41819679,47.34045753,136.2406597,-0.581803211,-2.659542472,6.240659719,2.722436618,6.808633847
-30,70,130,-24.76199882,67.18204543,133.3877868,5.238001183,-2.817954571,3.387786825,5.947900836,6.845043749
-30,10,130,-31.71386903,12.12149559,136.2880081,-1.713869029,2.121495594,6.28800814,2.727286308,6.85398694
-60,-50,130,-54.84453337,-49.58537659,134.6292285,5.15546663,0.414623405,4.629228511,5.1721126,6.941217858
-30,-40,130,-30.62674635,-35.59566072,124.6617497,-0.626746353,4.404339281,-5.338250327,4.448709418,6.948951866
-20,-10,130,-20.31789109,-9.51867726,136.9258714,-0.317891087,0.48132274,6.925871446,0.576824344,6.949850474
